t,u0,u1,y0,y1,yT0,yT1
0.058,1.0,0.0,6.75846136599428e-05,1.1645625067760829e-05,6.125392460710872e-05,2.1964299500858333e-05
0.06,1.0,0.0,7.173927594471489e-05,1.2671730702862747e-05,7.900254000924657e-05,4.057491325357139e-06
0.062,1.0,0.0,7.597682245819273e-05,1.3740254860018915e-05,4.375264827126011e-05,1.4204874220500776e-05
0.064,1.0,0.0,8.02936826234096e-05,1.4850183992941481e-05,9.91406060211158e-05,-9.921990983859575e-06
0.066,1.0,0.0,8.468630959858717e-05,1.60004075152833e-05,7.307528489526261e-05,1.1829276071486079e-05
0.068,1.0,0.0,8.915118064704597e-05,1.7189723895808434e-05,7.745716975653319e-05,-2.1089581918952882e-05
0.07,1.0,0.0,9.368479753323999e-05,1.8416846710475053e-05,9.717890487571458e-05,-6.6353126218526875e-06
0.07200000000000001,1.0,0.0,9.828368694480243e-05,1.9680410639890223e-05,8.623806410337742e-05,1.734566660453951e-05
0.074,1.0,0.0,0.00010294440094034354,2.0978977401249072e-05,0.00011057755242169866,6.497894199535521e-05
0.076,1.0,0.0,0.00010766351742260357,2.2311041604517053e-05,0.0001036424888060807,2.865459025599539e-05
0.078,1.0,0.0,0.00011243764063643426,2.3675036523251962e-05,0.00011174162829572187,5.196541930934837e-05
0.08,1.0,0.0,0.00011726340169096038,2.5069339771091413e-05,0.00010734910613322725,1.3981369887241095e-05
0.082,1.0,0.0,0.0001221374591051591,2.649227887555038e-05,0.0001660059696403363,1.1549513224277052e-05
0.084,1.0,0.0,0.0001270564993759889,2.794213674138152e-05,0.00011536804217699933,3.9098006149457304e-05
0.08600000000000001,1.0,0.0,0.00013201723756810148,2.9417156996347353e-05,0.00011877242095639761,2.0753314045677527e-05
0.088,1.0,0.0,0.00013701641792407968,3.091554921283722e-05,0.00012909135245508694,9.062253100535761e-06
0.09,1.0,0.0,0.00014205081449406075,3.243549399933287e-05,0.00015540826134110948,3.675139002027236e-05
0.092,1.0,0.0,0.0001471172317835295,3.3975147956283394e-05,0.00015912726700111751,5.80322268934258e-05
0.094,1.0,0.0,0.00015221250541799623,3.5532648491493026e-05,0.00016984168899717485,8.187968259606199e-06
0.096,1.0,0.0,0.00015733350282321333,3.710611849065331e-05,0.00014586602834732435,3.7664763678102395e-05
0.098,1.0,0.0,0.00016247712391953008,3.869367083916356e-05,0.00018821991641575578,4.493299397740718e-05
0.1,1.0,0.0,0.0001676403018289367,4.0293412791880744e-05,0.0001745432815477267,3.630326722389896e-05
0.10200000000000001,1.0,0.0,0.00017282000359330728,4.1903450187920825e-05,0.00016841362942539737,3.3852814942475306e-05
0.10400000000000001,1.0,0.0,0.00017801323090231664,4.352189150809828e-05,0.00017326722736589952,4.84883644279367e-05
0.106,1.0,0.0,0.00018321702082947655,4.514685177303876e-05,0.000167232450306073,9.54293949051067e-05
0.108,1.0,0.0,0.0001884284465747142,4.677645628043137e-05,0.00014441074741429344,8.093360933151598e-05
0.11,1.0,0.0,0.00019364461821189815,4.8408844180301564e-05,0.00020984037242448698,1.260244008133939e-05
0.112,1.0,0.0,0.00019886268343970496,5.0042171887583546e-05,0.0002140242078728338,3.519906239911551e-05
0.114,1.0,0.0,0.00020407982833421393,5.1674616331651467e-05,0.00019933420723739027,7.549938235932724e-05
0.116,1.0,0.0,0.00020929327810161502,5.330437804283258e-05,0.0002019806885733466,7.742675145004027e-05
0.11800000000000001,1.0,0.0,0.00021450029782941877,5.492968407627213e-05,0.00020265283039229363,4.8640629897179374e-05
0.12,1.0,0.0,0.00021969819323456542,5.654879077384914e-05,0.00021119143154518916,9.133470191038657e-05
0.122,1.0,0.0,0.00022488431140684224,5.815998636515552e-05,0.00023841115797144477,6.336585520449029e-05
0.124,1.0,0.0,0.000230056041546035,5.976159340884657e-05,0.00025452988355709666,5.276792332487232e-05
0.126,1.0,0.0,0.00023521081569126051,6.135197107595068e-05,0.00025684241044675934,7.975333098579118e-05
0.128,1.0,0.0,0.00024034610944095075,6.292951727698895e-05,0.00021599512673030758,7.277848600104313e-05
0.13,1.0,0.0,0.00024545944266198786,6.449267063500236e-05,0.0002653962583235766,6.741324537697194e-05
0.132,1.0,0.0,0.00025054838018651987,6.603991230681504e-05,0.0002748325345099267,8.066284883176922e-05
0.134,1.0,0.0,0.000255610532495022,6.75697676550772e-05,0.0002379490748585394,6.307150659275079e-05
0.136,1.0,0.0,0.0002606435563842049,6.908080777383146e-05,0.00022752121548177192,9.314982714007159e-05
0.138,1.0,0.0,0.00026564515561841167,7.057165087053021e-05,0.00027323554554015665,5.922362911182428e-05
0.14,1.0,0.0,0.0002706130815631883,7.204096350760227e-05,0.0002719282467522019,4.569116968587987e-05
0.14200000000000002,1.0,0.0,0.00027554513379975565,7.348746170682176e-05,0.00027630277225666245,5.274496468925473e-05
0.14400000000000002,1.0,0.0,0.00028043916071915923,7.490991191987383e-05,0.0002977774068179905,8.765869372739791e-05
0.146,1.0,0.0,0.0002852930600949207,7.630713186863887e-05,0.00028296290630402043,9.061421799282375e-05
0.148,1.0,0.0,0.00029010477963306634,7.767799125883125e-05,0.00029709748713446874,5.704894677910602e-05
0.15,1.0,0.0,0.00029487231749845884,7.902141237072962e-05,0.00031246738525866316,7.210246043333005e-05
0.152,1.0,0.0,0.0002995937228164121,8.03363705308241e-05,0.000266557727970513,9.18745459839879e-05
0.154,1.0,0.0,0.0003042670961486236,8.162189446828209e-05,0.0003195614640215923,6.325624390969827e-05
0.156,1.0,0.0,0.0003088905899425139,8.28770665601991e-05,0.00035350410881901417,7.316026049810339e-05
0.158,1.0,0.0,0.000313462408953119,8.410102296965389e-05,0.00031299737021032916,6.794191716719239e-05
0.16,1.0,0.0,0.00031798081063673795,8.529295368062946e-05,0.0003338410727689572,8.33812479740864e-05
0.162,1.0,0.0,0.0003224441055155959,8.645210243389327e-05,0.0003132741417061792,9.979676497566405e-05
0.164,1.0,0.0,0.0003268506575128403,8.757776656795159e-05,0.00034340576631771325,4.294886796103912e-05
0.166,1.0,0.0,0.0003311988842572452,8.866929676920497e-05,0.0003253774950375896,9.864928207557253e-05
0.168,1.0,0.0,0.0003354872573570575,8.972609673543431e-05,0.00031626655775657703,6.932313854545268e-05
0.17,1.0,0.0,0.00033971430264247637,9.074762275674142e-05,0.00032368359427324906,9.614709668192507e-05
