t,u0,u1,y0,y1,yT0,yT1
0.084,1.0,0.0,0.0001270564993759889,2.794213674138152e-05,0.00011715884099404486,4.104356008440803e-05
0.08600000000000001,1.0,0.0,0.00013201723756810148,2.9417156996347353e-05,0.0001292266178758066,3.228182046297923e-05
0.088,1.0,0.0,0.00013701641792407968,3.091554921283722e-05,0.00013999197537272961,3.0775284252650405e-05
0.09,1.0,0.0,0.00014205081449406075,3.243549399933287e-05,0.0001352309025882316,3.0489080343189145e-05
0.092,1.0,0.0,0.0001471172317835295,3.3975147956283394e-05,0.00015136841423759313,4.927000360699573e-05
0.094,1.0,0.0,0.00015221250541799623,3.5532648491493026e-05,0.00012885652324864987,4.012656368976203e-05
0.096,1.0,0.0,0.00015733350282321333,3.710611849065331e-05,0.0001625998589819757,3.531971295714515e-05
0.098,1.0,0.0,0.00016247712391953008,3.869367083916356e-05,0.00017811601534052128,2.5211825150703885e-05
0.1,1.0,0.0,0.0001676403018289367,4.0293412791880744e-05,0.00017307243789713232,4.121826825684971e-05
0.10200000000000001,1.0,0.0,0.00017282000359330728,4.1903450187920825e-05,0.00016799815901243954,3.988497145819409e-05
0.10400000000000001,1.0,0.0,0.00017801323090231664,4.352189150809828e-05,0.00017440381553450872,5.15905383607662e-05
0.106,1.0,0.0,0.00018321702082947655,4.514685177303876e-05,0.0001865430820350169,3.6543549192771825e-05
0.108,1.0,0.0,0.0001884284465747142,4.677645628043137e-05,0.00020634649585472912,6.182123448959112e-05
0.11,1.0,0.0,0.00019364461821189815,4.8408844180301564e-05,0.00018625496302655928,4.6750231528174235e-05
0.112,1.0,0.0,0.00019886268343970496,5.0042171887583546e-05,0.00019195435967791775,5.0589217998809474e-05
0.114,1.0,0.0,0.00020407982833421393,5.1674616331651467e-05,0.00020311326799384735,5.076094516926162e-05
0.116,1.0,0.0,0.00020929327810161502,5.330437804283258e-05,0.00022464865027365936,3.437087988962585e-05
0.11800000000000001,1.0,0.0,0.00021450029782941877,5.492968407627213e-05,0.00020669389675782702,4.461090856199708e-05
0.12,1.0,0.0,0.00021969819323456542,5.654879077384914e-05,0.00024024104126398052,4.645464748892973e-05
0.122,1.0,0.0,0.00022488431140684224,5.815998636515552e-05,0.00022662129347602022,4.6925455238523855e-05
0.124,1.0,0.0,0.000230056041546035,5.976159340884657e-05,0.00022860803907198167,6.213316924769408e-05
0.126,1.0,0.0,0.00023521081569126051,6.135197107595068e-05,0.00023301456481856784,5.6316677667931984e-05
0.128,1.0,0.0,0.00024034610944095075,6.292951727698895e-05,0.00027057450595042635,6.704070524372064e-05
0.13,1.0,0.0,0.00024545944266198786,6.449267063500236e-05,0.00023619624527737433,5.779689094500405e-05
0.132,1.0,0.0,0.00025054838018651987,6.603991230681504e-05,0.0002844696734357341,5.08765464399161e-05
0.134,1.0,0.0,0.000255610532495022,6.75697676550772e-05,0.0002604775625558975,5.558668445931247e-05
0.136,1.0,0.0,0.0002606435563842049,6.908080777383146e-05,0.00024433740079804104,6.675247054208108e-05
0.138,1.0,0.0,0.00026564515561841167,7.057165087053021e-05,0.0002712828122736063,6.901084368049139e-05
0.14,1.0,0.0,0.0002706130815631883,7.204096350760227e-05,0.0002870899903155581,7.188658673735856e-05
